Fecha;Julio 2022;;;;;
Reporte de Ventas;;;;;;
;;;;;;
Estado;Gastos 2018;Gastos 2019;Gastos 2020;Gastos 2021;Gastos 2022;Gastos 2023
Aguascalientes;1576365;392605,5;531799,5;950170,5;458409,75;
Baja California;425871;580500,75;156873;1252558,5;540606;
Baja California Sur;809805;1558604,25;1092388,5;1689743,25;1736718;
Campeche;82119,75;1114595,25;493458,75;468612;1034766;
Chiapas;1488344,25;1590597;928893,75;702683,25;1274403,75;
Chihuahua;671921,25;821894,25;1671501;308871,75;465517,5;
Ciudad de México;1589716,5;1454425,5;1273077,75;1225071,75;1713873,75;
Coahuila de Zaragoza;274572;1513054,5;398253;108410,25;1717374;
Colima;1725760,5;145338,75;1456784,25;240754,5;610206;
Durango;277591,5;1459407;530856,75;686180,25;879773,25;
Guanajuato;611199;1009998,75;843911,25;1173279;752932,5;
Guerrero;153262,5;1775541;469315,5;1032700,5;536028,75;
Hidalgo;1700555,25;1311507,75;1694147,25;1448922,75;1481764,5;
Jalisco;947658;258276,75;270705;131649,75;999264;
Estado de México;1198568,25;533044,5;347137,5;1221019,5;1316226;
Michoacán de Ocampo;1617816,75;1335203,25;1707634,5;1037717,25;1083832,5;
Morelos;1354968,75;1235145;590330,25;527802;1752909,75;
Nayarit;646287,75;415421,25;431689,5;626847,75;432925,5;
Nuevo León;1041567;765609,75;1327234,5;613025,25;763152,75;
Oaxaca;79589,25;1792735,5;585917,25;853985,25;627832,5;
Puebla;873699,75;401814,75;1031460,75;1703151,75;1290449,25;
Querétaro;143868,75;148442,25;1803991,5;883368,75;515208,75;
Quintana Roo;1134201;1259874;1365610,5;227142;723621,75;
San Luis Potosí;349678,5;1190625;531876,75;216369,75;118425,75;
Sinaloa;1148587,5;206242,5;1654110;1633128,75;234835,5;
Sonora;1270397,25;1459913,25;580347;1121361;801605,25;
Tabasco;661705,5;391376,25;1150706,25;667690,5;721770;
Tamaulipas;1137949,5;800142,75;1527141,75;823774,5;119767,5;
Tlaxcala;1386257,25;1381416;274064,25;495276,75;1841918,25;
Veracruz de Ignacio de la Llave;1290624;1191957,75;993254,25;696653,25;168218,25;
Yucatán;863225,25;196844,25;1674579,75;1404345;1519113;
Zacatecas;1389450;111109,5;1537119,75;1352028,75;167139;
;;;;;;
;;;;;;
Sistema de contabilidad versión 2,0,2,1;;;;;;
