PassengerId,Survived,Class,Name,Sex,Age,#Familiares,#Acompañantes,Ticket,PrecioTicket,NumCabin,Embarked,Country
892,N,3 Third,"Kelly, Mr. James",male,34.5,0,0,330911,7.8292,,Queenstown,United States
893,S,3 Third,"Wilkes, Mrs. James (Ellen Needs)",female,47,1,0,363272,7,,Southampton,United States
894,N,2 Second,"Myles, Mr. Thomas Francis",male,62,0,0,240276,9.6875,,Queenstown,Ireland
895,N,3 Third,"Wirz, Mr. Albert",male,27,0,0,315154,8.6625,,Southampton,Canada
896,S,3 Third,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",female,22,1,1,3101298,12.2875,,Southampton,Scotland
897,N,3 Third,"Svensson, Mr. Johan Cervin",male,14,0,0,7538,9.225,,Southampton,United Kingdom
898,S,3 Third,"Connolly, Miss. Kate",female,30,0,0,330972,7.6292,,Queenstown,Ireland
899,N,2 Second,"Caldwell, Mr. Albert Francis",male,26,1,1,248738,29,,Southampton,United States
900,S,3 Third,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",female,18,0,0,2657,7.2292,,Cherbourg,United Kingdom
901,N,3 Third,"Davies, Mr. John Samuel",male,21,2,0,A/4 48871,24.15,,Southampton,Ireland
902,N,3 Third,"Ilieff, Mr. Ylio",male,,0,0,349220,7.8958,,Southampton,France
903,N,1 First,"Jones, Mr. Charles Cresson",male,46,0,0,694,126,,Southampton,Spain
904,S,1 First,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",female,23,1,0,21228,182.2667,B45,Southampton,France
905,N,2 Second,"Howard, Mr. Benjamin",male,63,1,0,24065,26,,Southampton,Scotland
906,S,1 First,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47,1,0,W.E.P. 5734,161.175,E31,Southampton,Scotland
907,S,2 Second,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",female,24,1,0,SC/PARIS 2167,27.7208,,Cherbourg,Scotland
908,N,2 Second,"Keane, Mr. Daniel",male,35,0,0,233734,12.35,,Queenstown,France
909,N,3 Third,"Assaf, Mr. Gerios",male,21,0,0,2692,7.225,,Cherbourg,Scotland
910,S,3 Third,"Ilmakangas, Miss. Ida Livija",female,27,1,0,STON/O2. 3101270,7.925,,Southampton,United States
